id_date;date;id_semaine
90;15/06/2020;id_S14
91;16/06/2020;id_S14
92;17/06/2020;id_S14
93;18/06/2020;id_S14
94;19/06/2020;id_S15
95;20/06/2020;id_S15
96;21/06/2020;id_S15
97;22/06/2020;id_S15
98;23/06/2020;id_S15
99;24/06/2020;id_S15
100;25/06/2020;id_S15
101;26/06/2020;id_S16
102;27/06/2020;id_S16
103;28/06/2020;id_S16
104;29/06/2020;id_S16
105;30/06/2020;id_S16
106;01/07/2020;id_S16
107;02/07/2020;id_S16
108;03/07/2020;id_S17
109;04/07/2020;id_S17
110;05/07/2020;id_S17
111;06/07/2020;id_S17
112;07/07/2020;id_S17
113;08/07/2020;id_S17
114;09/07/2020;id_S17
115;10/07/2020;id_S18
116;11/07/2020;id_S18
117;12/07/2020;id_S18
118;13/07/2020;id_S18
119;14/07/2020;id_S18
120;15/07/2020;id_S18
121;16/07/2020;id_S18
122;17/07/2020;id_S19
123;18/07/2020;id_S19
124;19/07/2020;id_S19
125;20/07/2020;id_S19
126;21/07/2020;id_S19
127;22/07/2020;id_S19
128;23/07/2020;id_S19
129;24/07/2020;id_S20
130;25/07/2020;id_S20
131;26/07/2020;id_S20
132;27/07/2020;id_S20
133;28/07/2020;id_S20
134;29/07/2020;id_S20
135;30/07/2020;id_S20
136;31/07/2020;id_S21
137;01/08/2020;id_S21
138;02/08/2020;id_S21
139;03/08/2020;id_S21
140;04/08/2020;id_S21
141;05/08/2020;id_S21
142;06/08/2020;id_S21
143;07/08/2020;id_S22
144;08/08/2020;id_S22
145;09/08/2020;id_S22
146;10/08/2020;id_S22
147;11/08/2020;id_S22
148;12/08/2020;id_S22
149;13/08/2020;id_S22
150;14/08/2020;id_S23
151;15/08/2020;id_S23
152;16/08/2020;id_S23
153;17/08/2020;id_S23
154;18/08/2020;id_S23
155;19/08/2020;id_S23
156;20/08/2020;id_S23
157;21/08/2020;id_S24
158;22/08/2020;id_S24
159;23/08/2020;id_S24
160;24/08/2020;id_S24
161;25/08/2020;id_S24
162;26/08/2020;id_S24
163;27/08/2020;id_S24
164;28/08/2020;id_S25
165;29/08/2020;id_S25
166;30/08/2020;id_S25
167;31/08/2020;id_S25
168;01/09/2020;id_S25
169;02/09/2020;id_S25
170;03/09/2020;id_S25
171;04/09/2020;id_S26
172;05/09/2020;id_S26
173;06/09/2020;id_S26
174;07/09/2020;id_S26
175;08/09/2020;id_S26
176;09/09/2020;id_S26
177;10/09/2020;id_S26
178;11/09/2020;id_S27
179;12/09/2020;id_S27
180;13/09/2020;id_S27
181;14/09/2020;id_S27
182;15/09/2020;id_S27
183;16/09/2020;id_S27
184;17/09/2020;id_S27
185;18/09/2020;id_S28
186;19/09/2020;id_S28
187;20/09/2020;id_S28
188;21/09/2020;id_S28
189;22/09/2020;id_S28
190;23/09/2020;id_S28
191;24/09/2020;id_S28
192;25/09/2020;id_S29
193;26/09/2020;id_S29
194;27/09/2020;id_S29
195;28/09/2020;id_S29
196;29/09/2020;id_S29
197;30/09/2020;id_S29
198;01/10/2020;id_S29
199;02/10/2020;id_S30
200;03/10/2020;id_S30
201;04/10/2020;id_S30
202;05/10/2020;id_S30
203;06/10/2020;id_S30
204;07/10/2020;id_S30
205;08/10/2020;id_S30
206;09/10/2020;id_S31
207;10/10/2020;id_S31
208;11/10/2020;id_S31
209;12/10/2020;id_S31
210;13/10/2020;id_S31
211;14/10/2020;id_S31
212;15/10/2020;id_S31
213;16/10/2020;id_S32
214;17/10/2020;id_S32
215;18/10/2020;id_S32
216;19/10/2020;id_S32
217;20/10/2020;id_S32
218;21/10/2020;id_S32
219;22/10/2020;id_S32
220;23/10/2020;id_S33
221;24/10/2020;id_S33
222;25/10/2020;id_S33
223;26/10/2020;id_S33
224;27/10/2020;id_S33
225;28/10/2020;id_S33
226;29/10/2020;id_S33
227;30/10/2020;id_S34
228;31/10/2020;id_S34
229;01/11/2020;id_S34
230;02/11/2020;id_S34
231;03/11/2020;id_S34
232;04/11/2020;id_S34
233;05/11/2020;id_S34
234;06/11/2020;id_S35
235;07/11/2020;id_S35
236;08/11/2020;id_S35
237;09/11/2020;id_S35
238;10/11/2020;id_S35
239;11/11/2020;id_S35
240;12/11/2020;id_S35
241;13/11/2020;id_S36
242;14/11/2020;id_S36
243;15/11/2020;id_S36
244;16/11/2020;id_S36
245;17/11/2020;id_S36
246;18/11/2020;id_S36
247;19/11/2020;id_S36
248;20/11/2020;id_S37
249;21/11/2020;id_S37
250;22/11/2020;id_S37
251;23/11/2020;id_S37
252;24/11/2020;id_S37
253;25/11/2020;id_S37
254;26/11/2020;id_S37
255;27/11/2020;id_S38
256;28/11/2020;id_S38
257;29/11/2020;id_S38
258;30/11/2020;id_S38
259;01/12/2020;id_S38
260;02/12/2020;id_S38
261;03/12/2020;id_S38
262;04/12/2020;id_S39
263;05/12/2020;id_S39
264;06/12/2020;id_S39
265;07/12/2020;id_S39
266;08/12/2020;id_S39
267;09/12/2020;id_S39
268;10/12/2020;id_S39
269;11/12/2020;id_S40
270;12/12/2020;id_S40
271;13/12/2020;id_S40
272;14/12/2020;id_S40
273;15/12/2020;id_S40
274;16/12/2020;id_S40
275;17/12/2020;id_S40
276;18/12/2020;id_S41
277;19/12/2020;id_S41
278;20/12/2020;id_S41
279;21/12/2020;id_S41
280;22/12/2020;id_S41
281;23/12/2020;id_S41
282;24/12/2020;id_S41
283;25/12/2020;id_S42
284;26/12/2020;id_S42
285;27/12/2020;id_S42
286;28/12/2020;id_S42
287;29/12/2020;id_S42
288;30/12/2020;id_S42
289;31/12/2020;id_S42
290;01/01/2021;id_S43
291;02/01/2021;id_S43
292;03/01/2021;id_S43
293;04/01/2021;id_S43
294;05/01/2021;id_S43
295;06/01/2021;id_S43
296;07/01/2021;id_S43
297;08/01/2021;id_S44
298;09/01/2021;id_S44
299;10/01/2021;id_S44
300;11/01/2021;id_S44
301;12/01/2021;id_S44
302;13/01/2021;id_S44
303;14/01/2021;id_S44
304;15/01/2021;id_S45
305;16/01/2021;id_S45
306;17/01/2021;id_S45
307;18/01/2021;id_S45
308;19/01/2021;id_S45
309;20/01/2021;id_S45
310;21/01/2021;id_S45
311;22/01/2021;id_S46
312;23/01/2021;id_S46
313;24/01/2021;id_S46
314;25/01/2021;id_S46
315;26/01/2021;id_S46
316;27/01/2021;id_S46
317;28/01/2021;id_S46
318;29/01/2021;id_S47
319;30/01/2021;id_S47
320;31/01/2021;id_S47
321;01/02/2021;id_S47
322;02/02/2021;id_S47
323;03/02/2021;id_S47
324;04/02/2021;id_S47
325;05/02/2021;id_S48
326;06/02/2021;id_S48
327;07/02/2021;id_S48
328;08/02/2021;id_S48
329;09/02/2021;id_S48
330;10/02/2021;id_S48
331;11/02/2021;id_S48
332;12/02/2021;id_S49
333;13/02/2021;id_S49
334;14/02/2021;id_S49
335;15/02/2021;id_S49
336;16/02/2021;id_S49
337;17/02/2021;id_S49
338;18/02/2021;id_S49
339;19/02/2021;id_S50
340;20/02/2021;id_S50
341;21/02/2021;id_S50
342;22/02/2021;id_S50
343;23/02/2021;id_S50
344;24/02/2021;id_S50
345;25/02/2021;id_S50
346;26/02/2021;id_S51
347;27/02/2021;id_S51
348;28/02/2021;id_S51
349;01/03/2021;id_S51
350;02/03/2021;id_S51
351;03/03/2021;id_S51
352;04/03/2021;id_S51
353;05/03/2021;id_S52
354;06/03/2021;id_S52
355;07/03/2021;id_S52
356;08/03/2021;id_S52
357;09/03/2021;id_S52
358;10/03/2021;id_S52
359;11/03/2021;id_S52
360;12/03/2021;id_S53
361;13/03/2021;id_S53
362;14/03/2021;id_S53
363;15/03/2021;id_S53
364;16/03/2021;id_S53
365;17/03/2021;id_S53
366;18/03/2021;id_S53
367;19/03/2021;id_S54
368;20/03/2021;id_S54
369;21/03/2021;id_S54
370;22/03/2021;id_S54
371;23/03/2021;id_S54
372;24/03/2021;id_S54
